,RA,DEC,PMRA,PMDEC,FLUX_B,FLUX_V,FLUX_J,FLUX_H,FLUX_K
HD86593,09 59 08.5259,-16 00 41.729,-31.66,2.826,7.67,7.6,7.47,7.504,7.456
HD70710,08 22 52.6888,-16 07 51.538,-1.9780000000000002,-1.2109999999999999,9.4,9.36,9.267999999999999,9.249,9.24
HIP110963,22 28 53.5481,-16 09 07.229,26.035,-6.5120000000000005,8.8,8.76,8.603,8.601,8.602
HIP31785,06 38 45.6172,-16 15 39.105,6.074,-6.558,7.12,7.1,7.011,7.019,7.019
HD71580,08 27 38.5180,-16 17 26.247,-9.151,4.323,8.56,8.52,8.445,8.454,8.413
HIP49512,10 06 33.0339,-16 20 18.608,-26.118000000000002,2.9019999999999997,8.27,8.24,8.125,8.187000000000001,8.122
HD199829,21 00 09.7032,-16 40 20.556,6.382999999999999,1.541,10.06,9.99,9.75,9.761000000000001,9.749
HIP30193,06 21 08.8001,-16 40 37.893,-14.036,11.13,8.08,8.01,7.82,7.845,7.818
HIP22679,04 52 37.9676,-16 51 58.948,4.3,5.547999999999999,8.88,8.81,8.764,8.797,8.788
HIP28877,06 05 48.3338,-16 57 33.763,-2.7089999999999996,0.9059999999999999,7.89,7.87,7.808,7.829,7.816
HIP25280,05 24 28.4872,-16 58 32.789,33.12,-17.269000000000002,5.631,5.636,5.647,5.678,5.649
HIP26552,05 38 46.2483,-17 04 14.739,11.495,-23.01,7.93,7.98,7.972,8.025,7.995
HIP58188,11 56 00.9553,-17 09 02.958,-51.147,-8.894,5.138,5.16,5.18,5.211,5.176
HIP109960,22 16 16.5580,-17 12 18.881,14.311,0.5489999999999999,8.74,8.68,8.634,8.647,8.626
HD49529,06 48 09.9457,-17 13 46.883,-5.9639999999999995,1.065,8.12,8.09,8.015,8.084,8.027999999999999
HD53694,07 05 22.2912,-17 28 05.983,0.624,-5.666,10.14,10.11,9.857000000000001,9.87,9.832
HD92079,10 37 39.2785,-17 49 14.456,5.558,-6.32,8.58,8.55,8.408999999999999,8.396,8.395
HD69372,08 16 07.1518,-17 51 29.317,-6.39,-3.591,8.76,8.7,8.402000000000001,8.39,8.377
HIP30184,06 21 02.8370,-17 57 27.152,-0.11599999999999999,-3.812,8.1,8.08,7.945,7.957999999999999,7.904
HD64263,07 52 23.5314,-18 01 06.197,-9.675,-9.582,8.34,8.29,8.163,8.165,8.17
HD74001,08 40 45.0192,-18 08 54.438,-6.517,-1.287,9.37,9.33,9.164,9.152000000000001,9.12
HIP27307,05 47 07.7071,-18 10 08.280,-7.614,0.204,8.07,8.09,8.078,8.079,8.062999999999999
HIP56746,11 38 04.9426,-18 11 30.473,-80.007,23.73,7.48,7.41,7.268,7.307,7.279
HIP69658,14 15 24.0849,-18 12 02.487,-45.76,-12.1,5.525,5.532,5.542999999999999,5.547999999999999,5.5520000000000005
HD90606,10 27 25.3694,-18 17 12.480,-15.248,-2.987,7.11,7.09,6.952999999999999,7.0329999999999995,6.945
HD40971,06 01 29.4330,-18 17 20.137,-1.5190000000000001,-23.756,8.62,8.59,8.53,8.574,8.551
HIP39658,08 06 17.2824,-18 22 23.411,-14.788,-15.28,7.63,7.6,7.476,7.497000000000001,7.471
HD61406,07 38 28.3067,-18 29 24.100,-9.398,-1.896,9.79,9.73,9.467,9.485,9.433
HD62572,07 43 58.5325,-18 36 20.751,6.4,-30.428,8.73,8.7,8.48,8.472999999999999,8.491
HD35735,05 25 47.4072,-18 39 41.370,1.895,5.261,9.52,9.5,9.413,9.442,9.381
HIP17946,03 50 13.9047,-18 44 45.640,-13.859000000000002,-6.88,7.39,7.38,7.301,7.34,7.309
HD54468,07 08 07.3088,-18 46 34.766,-7.787000000000001,5.305,9.18,9.16,8.999,9.01,9.015
HD62001,07 41 13.9030,-18 59 37.414,3.4789999999999996,9.828,8.26,8.21,8.003,7.962999999999999,7.983
HD69944,08 18 40.6738,-19 01 05.069,0.253,-1.089,9.94,9.9,9.793,9.791,9.779
HIP30295,06 22 20.5010,-19 05 51.240,-3.343,-4.053,8.91,8.9,8.847000000000001,8.885,8.844
HD64171,07 51 58.4666,-19 08 02.628,-7.881,4.362,8.92,8.87,8.676,8.686,8.671
HIP52524,10 44 21.2304,-19 08 30.852,3.8939999999999997,-6.1979999999999995,8.03,8.0,7.89,7.874,7.872999999999999
HD72153,08 30 43.0635,-19 21 37.544,-3.302,-0.17,8.75,8.71,8.636000000000001,8.641,8.587
HD64475,07 53 22.4366,-19 22 51.103,-6.73,2.736,9.37,9.36,9.267999999999999,9.247,9.242
HD213623,22 33 07.7985,-19 23 27.753,20.494,1.247,9.07,9.0,8.836,8.874,8.831
HD42135,06 08 09.0598,-19 25 54.299,-3.074,0.262,8.21,8.19,8.14,8.259,8.131
HD25754,04 04 17.8463,-19 28 09.289,-10.833,-4.3,7.75,7.69,7.621,7.687,7.604
HIP47070,09 35 33.8002,-19 35 00.222,-26.839000000000002,-33.203,6.37,6.31,6.196000000000001,6.192,6.148
HD63845,07 50 09.7468,-19 44 54.260,1.24,-3.225,9.55,9.49,9.371,9.321,9.322000000000001
HIP50790,10 22 12.9373,-19 51 59.655,-35.669000000000004,8.625,6.16,6.13,5.983,6.01,5.955
HD58508,07 25 07.1900,-19 55 26.815,-10.059,5.851,9.21,9.15,8.978,8.971,8.96
HD57865,07 22 22.1752,-19 58 01.605,-0.821,0.281,9.79,9.71,9.508,9.506,9.482000000000001
HD184255,19 34 20.6234,-20 00 52.969,-0.711,-11.089,9.42,9.38,9.261000000000001,9.279,9.243
HD84920,09 48 03.7771,-20 06 54.049,-2.68,-3.512,10.72,10.72,10.507,10.517000000000001,10.523
HIP64204,13 09 30.2023,-20 07 25.161,-19.7,-12.219000000000001,7.22,7.17,6.992000000000001,6.978,6.966
HIP62264,12 45 32.7975,-20 08 44.570,-48.846000000000004,-0.594,7.57,7.58,7.479,7.486000000000001,7.4879999999999995
HD57612,07 21 11.8462,-20 13 20.341,-0.8079999999999999,2.967,9.75,9.72,9.555,9.53,9.53
HD33612,05 10 37.2689,-20 19 19.336,-2.2159999999999997,-7.99,10.09,10.05,9.986,9.96,9.957
HD44504,06 21 19.0914,-20 26 57.056,-3.53,7.0489999999999995,9.0,9.0,9.022,9.038,9.033999999999999
HD180150,19 16 08.9542,-20 27 17.874,-1.824,-7.697,8.87,8.8,8.625,8.645,8.571
