,RA,DEC,PMRA,PMDEC,FLUX_B,FLUX_V,FLUX_J,FLUX_H,FLUX_K
HD73865,08 39 35.6587,-27 32 19.303,-7.827999999999999,8.566,8.85,8.82,8.662,8.649,8.621
HD63115,07 46 13.8334,-27 35 19.168,-7.797999999999999,0.305,9.15,9.13,9.089,9.07,9.047
HD69063,08 14 16.3974,-27 35 34.434,-8.283999999999999,4.543,9.97,9.92,9.683,9.672,9.651
HIP106576,21 35 04.7692,-27 36 44.013,10.812999999999999,-8.214,9.08,9.02,9.077,9.048,9.027000000000001
HD68802,08 13 07.1271,-27 43 05.483,-4.654,3.431,9.53,9.49,9.423,9.4,9.381
HIP97408,19 47 52.4754,-27 43 55.146,6.07,-11.68,8.55,8.49,8.227,8.203,8.204
HD78561,09 08 05.1337,-27 45 12.314,-10.885,-7.569,9.06,8.99,8.802,8.802,8.776
HD50917,06 54 01.6903,-27 45 36.051,-7.284,16.607,8.38,8.32,8.195,8.22,8.2
HD74574,08 43 49.6435,-27 46 53.429,-8.125,5.489,10.01,9.94,9.775,9.798,9.749
HD131223,14 53 06.4907,-27 49 35.652,-5.156000000000001,-5.428999999999999,9.25,9.18,8.957,8.958,8.911
HD71101,08 24 34.3617,-27 50 10.574,-3.472,-0.062,9.6,9.59,9.514,9.498,9.48
HD71437,08 26 31.6502,-27 50 31.680,-10.717,5.557,9.52,9.47,9.381,9.378,9.341000000000001
HD68294,08 10 46.4447,-27 51 43.557,-1.625,4.257,9.16,9.11,8.884,8.876,8.847999999999999
HD72399,08 31 46.2985,-27 55 36.682,0.355,-3.826,8.85,8.8,8.636000000000001,8.674,8.636000000000001
HD62333,07 42 19.5024,-27 55 56.403,-13.642000000000001,9.003,8.65,8.65,8.616,8.668,8.633
HIP17007,03 38 47.6715,-27 56 34.993,20.986,26.456,5.99,6.01,6.007999999999999,6.065,6.007999999999999
HD81150,09 23 07.8363,-27 57 12.083,-7.766,4.053999999999999,9.61,9.6,9.459,9.49,9.425
HD83547,09 38 30.0662,-27 59 06.598,-8.712,1.238,8.69,8.63,8.515,8.437999999999999,8.48
HIP79878,16 18 16.1596,-28 02 30.144,-11.169,-25.487,7.05,7.06,7.029,7.101,7.041
HD125438,14 20 08.3353,-28 02 56.537,-30.301,-19.561,7.26,7.2,7.016,7.062,7.01
HIP45288,09 13 47.5041,-28 05 24.218,-19.82,15.01,7.99,7.93,7.779,7.818,7.769
HD70212,08 19 46.4467,-28 11 08.643,-3.0660000000000003,2.024,10.14,10.07,9.92,9.915,9.897
HIP42524,08 40 11.8975,-28 24 52.347,-14.004000000000001,0.462,8.26,8.19,8.067,8.062000000000001,8.026
HD43070,06 12 59.1574,-28 27 48.989,4.937,29.430999999999997,7.3,7.27,7.244,7.26,7.221
HD57409,07 19 59.6039,-28 30 00.123,-0.9790000000000001,-6.346,8.96,8.9,8.791,8.844,8.807
HD42750,06 11 07.9714,-28 35 53.248,-6.867999999999999,-0.8079999999999999,8.4,8.36,8.331,8.344,8.337
HD56751,07 17 07.2043,-28 36 01.302,-16.404,-5.004,7.1,7.11,7.0729999999999995,7.068,7.077000000000001
HD52488,07 00 14.9915,-28 36 25.489,1.868,-0.467,9.09,9.07,9.07,9.111,9.037
HIP96408,19 36 03.1869,-28 40 06.160,15.459000000000001,-7.022,7.96,7.91,7.749,7.85,7.773
HD65998,08 00 30.0279,-28 43 56.072,-4.768,3.97,9.46,9.51,9.497,9.516,9.515
HD64874,07 54 57.7573,-28 47 55.214,-5.045,-2.084,9.39,9.32,9.232000000000001,9.222000000000001,9.174
HD101491,11 40 41.6074,-28 52 55.957,-6.459,-1.6019999999999999,9.8,9.77,9.625,9.543,9.58
HIP55576,11 23 05.1303,-28 53 49.124,-9.786,-3.7910000000000004,7.51,7.52,7.47,7.497000000000001,7.482
HD56996,07 18 07.7229,-28 56 31.022,5.546,-11.38,8.69,8.64,8.459,8.488,8.429
HIP45176,09 12 21.8820,-28 56 51.307,-22.901999999999997,12.444,6.75,6.75,6.629,6.645,6.587999999999999
HD194324,20 26 03.0950,-29 02 20.917,10.704,-0.263,9.2,9.18,8.987,8.967,8.976
HIP40414,08 15 00.8831,-29 04 03.983,-16.585,14.945,8.99,8.95,8.812000000000001,8.876,8.798
HIP67523,13 50 06.5084,-29 04 52.766,-50.59,-32.55,6.171,6.186,6.192,6.234,6.194
HD117248,13 29 32.7164,-29 05 32.132,7.081,-3.097,10.12,10.08,9.838,9.849,9.792
HD118146,13 35 30.8789,-29 09 20.452,-12.7,-5.855,8.86,8.8,8.712,8.77,8.731
HD69375,08 15 42.5010,-29 09 24.882,-14.53,10.533,9.39,9.33,9.253,9.253,9.203
HIP76728,15 40 06.6793,-29 13 28.151,-8.335,-6.2139999999999995,9.33,9.27,8.847999999999999,8.842,8.795
HD48629,06 43 06.0476,-29 14 14.373,-1.834,1.5490000000000002,7.278,7.27,7.246,7.256,7.249
HD41473,06 04 07.2169,-29 20 20.526,-6.6160000000000005,-0.24100000000000002,7.77,7.8,7.784,7.8420000000000005,7.797000000000001
HIP47209,09 37 14.9635,-29 24 16.970,-17.683,12.347999999999999,9.14,9.11,8.966000000000001,8.988,8.993
HD46010,06 29 33.0486,-29 29 43.988,-11.161,5.555,9.48,9.45,9.288,9.307,9.305
HD71178,08 24 55.7843,-29 30 46.956,-3.2510000000000003,-0.271,9.67,9.69,9.597999999999999,9.618,9.621
HD97159,11 10 46.0930,-29 34 27.099,4.875,-3.537,8.91,8.88,8.781,8.786,8.729
HD126174,14 24 36.6970,-29 37 09.646,-16.930999999999997,-19.348,8.36,8.29,8.065,8.04,8.015
HD31289,04 53 09.8121,-29 41 56.158,0.602,8.964,10.23,10.2,10.227,10.254000000000001,10.249
HD78973,09 10 13.6958,-29 44 52.443,-9.312999999999999,5.824,9.85,9.78,9.519,9.488,9.497
HD66724,08 03 46.5667,-29 46 03.128,-6.121,1.308,9.34,9.31,9.254,9.302999999999999,9.292
HD61137,07 36 37.7797,-29 46 56.791,-10.300999999999998,7.37,8.97,9.0,8.996,9.009,9.013
HD82313,09 30 23.2214,-29 49 39.994,-9.092,0.305,9.65,9.61,9.485,9.48,9.476
HD81090,09 22 47.9569,-29 52 11.384,-17.697,4.769,9.77,9.73,9.69,9.695,9.705
HD63050,07 45 46.2845,-29 57 00.169,2.378,-0.319,8.97,8.95,8.808,8.881,8.826
HD89314,10 17 39.8235,-29 58 15.400,-2.8480000000000003,-0.56,9.64,9.58,9.516,9.506,9.509
HD72644,08 33 04.1801,-29 58 32.402,3.8,-5.004,8.93,8.87,8.703,8.731,8.701
HD60956,07 35 44.8005,-30 03 32.698,-1.7380000000000002,-3.542,8.62,8.6,8.543,8.554,8.527999999999999
HD61638,07 38 59.3739,-30 08 19.409,-2.9930000000000003,7.638999999999999,8.55,8.52,8.423,8.384,8.382
HD40028,05 54 59.5404,-30 18 20.830,-5.782,11.504000000000001,7.84,7.8,7.737,7.781000000000001,7.736000000000001
HD65286,07 56 51.3453,-30 22 38.953,-5.5760000000000005,-0.228,9.29,9.23,9.103,9.052999999999999,9.067
HR1972,05 42 11.5788,-30 32 07.572,-1.545,1.885,6.189,6.172000000000001,6.108,6.175,6.0889999999999995
HD66018,08 00 28.4621,-30 33 13.996,-8.855,5.396,10.14,10.08,10.092,10.111,10.081
HD74004,08 40 21.1037,-30 33 18.119,-2.795,-0.521,9.59,9.6,9.564,9.551,9.52
HD74315,08 42 18.6895,-30 33 55.372,-0.489,-1.776,9.22,9.18,9.089,9.083,9.068999999999999
HD33551,05 09 42.3704,-30 55 35.151,10.963,21.285999999999998,9.87,9.84,9.829,9.892000000000001,9.866
HD54838,07 09 08.3330,-30 57 19.435,-11.884,6.398,8.67,8.63,8.467,8.502,8.49
HIP42930,08 45 00.7320,-30 58 41.072,-9.003,7.066,7.19,7.15,6.95,7.0360000000000005,6.9239999999999995
HD78222,09 06 09.8214,-30 59 26.820,-8.476,5.289,9.46,9.44,9.322000000000001,9.291,9.304
HD40236,05 56 15.8174,-31 01 30.093,8.032,-7.417999999999999,9.93,9.86,9.834,9.838,9.834
HD179697,19 14 48.6485,-31 05 02.940,-2.2,-7.9,8.92,8.88,8.692,8.704,8.703
HD169043,18 24 07.4324,-31 07 55.433,9.161,-2.611,9.76,9.71,9.402999999999999,9.417,9.347000000000001
HD61594,07 38 45.6363,-31 09 13.994,-6.922999999999999,2.13,8.36,8.36,8.354,8.405,8.361
HD63098,07 45 51.0763,-31 24 46.548,-6.5089999999999995,5.733,9.57,9.57,9.427,9.448,9.405
HD48649,06 43 09.5568,-31 24 54.005,-0.44799999999999995,4.012,9.93,9.92,9.816,9.842,9.801
HD147779,16 25 04.6768,-31 25 19.251,-9.524,-23.695,7.12,7.14,7.0889999999999995,7.081,7.0729999999999995
HD76785,08 57 25.3393,-31 28 02.437,0.907,-1.083,9.5,9.43,9.33,9.321,9.315
HD199090,20 55 54.4561,-31 30 20.432,35.826,-6.635,7.98,7.91,7.82,7.8389999999999995,7.841
HD21999,03 31 34.9671,-31 40 24.703,-1.892,-16.025,7.66,7.62,7.502999999999999,7.505,7.502000000000001
HD42586,06 10 08.7966,-31 41 26.125,-1.479,6.115,9.98,9.91,9.872,9.873,9.836
HD142851,15 57 59.3443,-31 43 44.140,-13.792,-26.1,6.99,7.02,7.005,7.12,7.032
HD36022,05 27 24.7598,-31 45 24.562,0.721,-4.452,9.11,9.12,9.177,9.193,9.156
HIP53433,10 55 51.2037,-31 47 10.696,-28.872,2.7739999999999996,7.36,7.34,7.131,7.165,7.0729999999999995
HD218350,23 07 29.5186,-31 48 09.021,10.533,5.113,8.59,8.53,8.389,8.385,8.374
HD46996,06 34 57.5940,-31 50 39.895,4.902,-1.026,8.18,8.19,8.152000000000001,8.229,8.19
HD27803,04 21 59.7172,-31 54 09.445,3.35,-2.013,9.94,9.88,9.791,9.789,9.779
HIP36217,07 27 30.5797,-31 56 20.900,-6.034,3.753,9.17,9.2,9.24,9.259,9.28
HIP35641,07 21 15.8234,-32 01 36.018,-8.146,4.273,9.35,9.32,9.318,9.357999999999999,9.34
HD54174,07 06 33.2065,-32 05 24.311,-14.052999999999999,1.162,8.9,8.84,8.736,8.716000000000001,8.7
HIP25832,05 30 54.4833,-32 06 41.882,7.268,16.574,8.57,8.5,8.383,8.411,8.384
HD56928,07 17 40.0433,-32 08 42.341,2.0540000000000003,13.100999999999999,9.35,9.32,9.209,9.191,9.167
HD83318,09 36 37.9543,-32 14 38.129,-8.842,2.4219999999999997,9.1,9.07,8.891,8.845,8.857999999999999
HD46329,06 31 18.3340,-32 16 39.536,-7.84,1.1320000000000001,9.33,9.27,9.273,9.283999999999999,9.216000000000001
HD74335,08 42 23.0180,-32 27 37.044,-4.598,0.67,8.81,8.77,8.607000000000001,8.625,8.628
HIP61211,12 32 35.0555,-32 27 51.006,-27.345,-0.595,7.61,7.57,7.4879999999999995,7.487,7.446000000000001
HD54523,07 07 46.5928,-32 28 05.188,-5.279,5.943,9.96,9.9,9.77,9.812000000000001,9.734
HD56732,07 16 53.4618,-32 28 54.960,-0.8590000000000001,0.7829999999999999,10.36,10.44,10.257,10.262,10.258
HR903,02 59 38.3052,-32 30 25.914,7.403,9.693,6.309,6.3020000000000005,6.272,6.263,6.26
HD60976,07 35 41.8660,-32 34 35.160,-6.444,4.124,9.76,9.76,9.615,9.593,9.566
HD55297,07 11 00.8123,-32 37 41.455,-5.002,6.468,9.59,9.54,9.512,9.541,9.51
HIP92197,18 47 23.7051,-32 38 51.573,1.95,-6.712999999999999,8.79,8.73,8.61,8.684,8.618
HD27288,04 17 09.5304,-32 38 53.375,33.713,40.757,9.54,9.49,9.379,9.411,9.355
HD174672,18 53 04.8813,-32 41 43.335,-3.5069999999999997,-5.52,10.49,10.42,9.978,9.937000000000001,9.935
HD59366,07 28 11.9647,-32 41 56.678,-4.609,3.742,9.71,9.72,9.686,9.734,9.681000000000001
HD100511,11 33 53.8946,-32 47 48.239,-13.196,-0.489,9.32,9.27,9.173,9.166,9.158999999999999
HIP43081,08 46 30.4747,-32 50 26.756,-14.255,8.237,8.85,8.81,8.686,8.713,8.682
HD133750,15 07 13.7038,-32 54 36.570,-8.61,-11.61,7.23,7.17,7.028,7.04,7.031000000000001
HD126108,14 24 23.4191,-32 58 52.670,-11.107000000000001,-2.523,8.77,8.76,8.615,8.606,8.582
HD130540,14 49 49.1407,-32 59 09.798,-11.405,0.442,8.65,8.63,8.498,8.533999999999999,8.504
HD41921,06 06 22.0966,-33 00 01.165,-6.784,-1.046,8.55,8.51,8.44,8.47,8.445
HD118997,13 41 15.9607,-33 00 57.083,2.447,-3.2560000000000002,10.1,10.07,10.01,9.992,9.991
HD194982,20 29 41.7285,-33 01 35.516,6.949,-13.562000000000001,8.62,8.58,8.525,8.548,8.519
HD46773,06 33 49.3731,-33 02 18.217,0.841,7.165,8.17,8.13,8.111,8.173,8.084
HD84378,09 44 06.7205,-33 07 02.132,-14.472999999999999,2.405,8.86,8.79,8.597000000000001,8.623,8.575
HIP76217,15 34 10.0988,-33 10 16.853,-34.672,-31.611,7.0,6.97,6.935,6.976,6.949
HD70726,08 22 18.1900,-33 15 10.374,-2.511,3.156,9.48,9.46,9.253,9.248,9.2
HD173079,18 45 01.4236,-33 15 16.671,4.571000000000001,-5.504,9.17,9.17,9.0,9.046,8.96
HD165790,18 09 15.0080,-33 17 41.670,8.181000000000001,-13.164000000000001,9.55,9.57,9.168,9.175,9.147
HD67242,08 05 46.4565,-33 19 59.174,-12.498,0.5670000000000001,7.92,7.86,7.774,7.7829999999999995,7.797000000000001
HD74207,08 41 28.6566,-33 22 01.992,-9.744,2.28,9.75,9.71,9.6,9.605,9.6
HD67164,08 05 27.8341,-33 22 10.875,-14.468,8.09,9.14,9.11,9.03,9.081,9.051
HD85434,09 50 52.8631,-33 22 27.256,-1.5230000000000001,-0.679,9.38,9.33,9.202,9.182,9.158999999999999
HIP78359,15 59 55.0515,-33 23 07.181,-10.389000000000001,-18.351,6.85,6.82,6.765,6.769,6.744
HD179904,19 15 46.7322,-33 31 49.752,8.554,-9.484,7.55,7.53,7.425,7.457000000000001,7.422999999999999
HD194272,20 25 56.4873,-33 38 09.511,7.022,-13.384,8.0,8.0,7.962999999999999,7.968999999999999,7.98
HIP32479,06 46 43.4702,-33 40 08.051,-3.134,-3.589,8.58,8.52,8.328,8.417,8.3
HD54891,07 09 15.7754,-33 40 42.986,-5.995,6.593,9.7,9.63,9.601,9.59,9.581
HD98367,11 18 37.4485,-33 45 12.398,-38.534,9.675,8.34,8.27,8.058,8.074,8.029
HD84581,09 45 24.2259,-33 47 50.543,-8.957,0.444,8.33,8.29,8.185,8.235,8.176
HD170065,18 28 56.8998,-33 53 53.645,-3.492,-9.325,9.71,9.65,9.349,9.311,9.29
HD28913,04 31 59.7907,-33 53 54.998,3.295,-1.4709999999999999,8.15,8.1,8.002,8.056000000000001,8.033
HD58469,07 24 22.3058,-33 55 30.941,-5.7010000000000005,3.0239999999999996,9.36,9.3,9.213,9.216000000000001,9.179
HD22687,03 37 31.3583,-33 56 58.718,0.006,-4.83,8.58,8.56,8.501,8.494,8.497
HD22861,03 39 02.9032,-33 58 00.285,0.418,-1.147,9.42,9.36,9.263,9.26,9.244
HD92160,10 37 55.9499,-33 58 47.227,-10.97,3.4410000000000003,9.56,9.5,9.45,9.446,9.406
HIP22136,04 45 49.6657,-34 00 18.005,42.985,15.932,6.8389999999999995,6.8420000000000005,6.803999999999999,6.832999999999999,6.791
HD54772,07 08 44.3965,-34 03 36.435,1.402,1.35,8.95,8.9,8.77,8.818999999999999,8.796
HD89213,10 16 51.7361,-34 07 38.392,-21.255,9.247,7.4,7.4,7.307,7.332999999999999,7.294
HD59464,07 28 35.7753,-34 19 52.426,-6.3839999999999995,5.3229999999999995,9.73,9.68,9.617,9.613999999999999,9.578
HD63340,07 47 08.6299,-34 20 35.083,-4.466,6.76,8.63,8.6,8.413,8.419,8.418
HIP47020,09 34 57.1938,-34 22 02.651,-1.014,-3.062,7.34,7.31,7.229,7.247999999999999,7.247000000000001
HD163193,17 56 23.2153,-34 29 52.157,3.358,-4.877,8.84,8.8,8.381,8.324,8.336
HIP44751,09 07 12.0808,-34 31 10.844,-15.540999999999999,13.399000000000001,7.9,7.87,7.796,7.832999999999999,7.78
HIP70097,14 20 37.3512,-34 40 40.420,-26.928,-7.447,7.67,7.71,7.659,7.727,7.667000000000001
HIP70993,14 31 13.0863,-34 40 52.049,-9.213,-14.8,7.84,7.78,7.579,7.574,7.56
HD60395,07 32 50.7026,-34 40 55.618,-2.254,0.185,9.96,9.93,9.786,9.764,9.735
HD67188,08 05 28.6956,-34 41 28.717,-7.1129999999999995,16.474,9.16,9.12,9.04,9.027999999999999,9.006
HD86396,09 57 26.2298,-34 41 45.421,-13.54,4.351,9.54,9.48,9.445,9.437999999999999,9.415
HIP57423,11 46 22.1293,-34 45 12.821,50.282,-36.403,7.69,7.7,7.706,7.767,7.736000000000001
HD86845,10 00 23.7261,-34 55 14.275,-5.4910000000000005,1.702,10.01,9.97,9.897,9.908,9.866
HIP69021,14 07 47.4156,-34 56 58.073,-16.63,-4.45,7.37,7.33,7.209,7.284,7.165
HD167800,18 18 21.2483,-34 58 12.093,-2.553,-8.497,8.78,8.72,8.455,8.441,8.448
HIP37167,07 38 15.5864,-34 58 49.402,-0.67,-7.062,7.92,7.85,7.702000000000001,7.75,7.666
HD42361,06 08 41.2294,-35 01 02.844,-6.649,-2.9789999999999996,8.52,8.51,8.47,8.493,8.501
HD71716,08 27 33.6388,-35 01 39.567,-8.81,6.447,8.68,8.65,8.586,8.6,8.617
HD75885,08 51 35.9486,-35 03 20.170,-2.024,-5.06,9.64,9.63,9.463,9.486,9.447000000000001
HD68735,08 12 22.2549,-35 03 53.536,-5.497000000000001,1.395,9.26,9.22,9.097999999999999,9.103,9.058
HD73383,08 36 51.2730,-35 05 26.484,-5.437,-6.747000000000001,8.27,8.25,8.104,8.15,8.106
HD87945,10 07 38.1516,-35 13 53.498,0.466,-1.8030000000000002,8.99,8.95,8.785,8.818,8.792
HIP35030,07 14 46.2450,-35 14 51.640,-10.737,6.1370000000000005,8.68,8.68,8.646,8.683,8.683
HIP49032,10 00 13.6476,-35 18 48.348,-28.938000000000002,17.816,7.89,7.85,7.761,7.818,7.779
HD47829,06 38 59.2784,-35 30 05.909,-9.919,11.684000000000001,9.49,9.45,9.367,9.377,9.31
HIP28855,06 05 27.1786,-35 30 49.126,13.472000000000001,16.229,5.818,5.795,5.724,5.767,5.739
HD116413,13 24 03.4016,-35 33 21.454,-10.925999999999998,-6.796,9.07,9.04,8.969,8.987,8.978
HD74789,08 44 48.5486,-35 42 40.335,-7.768,-1.7209999999999999,9.82,9.77,9.642999999999999,9.672,9.65
HIP52324,10 41 30.3393,-35 43 52.054,-23.905,-4.625,6.8420000000000005,6.803999999999999,6.736000000000001,6.774,6.7379999999999995
HD170147,18 29 29.6437,-35 46 02.028,2.145,-7.311,9.24,9.19,9.019,9.009,8.995
HD122109,14 00 29.2651,-35 47 08.103,-14.07,-3.807,8.04,7.99,7.905,7.9270000000000005,7.85
HIP64003,13 06 54.2455,-35 51 43.367,49.818999999999996,-79.822,5.672000000000001,5.63,5.604,5.629,5.563
HD53783,07 04 43.5629,-35 54 53.849,-2.3209999999999997,0.867,9.63,9.56,9.292,9.257,9.234
HIP42775,08 42 56.9990,-35 56 35.883,-10.446,19.65,6.428999999999999,6.4110000000000005,6.335,6.353,6.327999999999999
HD79755,09 14 46.3942,-35 57 43.037,-23.456,4.716,7.31,7.27,7.221,7.232,7.199
HD71948,08 28 46.7216,-35 59 19.806,-7.641,1.506,9.69,9.64,9.497,9.495,9.496
HD76851,08 57 35.6337,-36 02 07.105,-13.305,6.564,10.49,10.47,10.255999999999998,10.267999999999999,10.202
HD74751,08 44 30.2008,-36 04 09.284,-5.9639999999999995,5.827000000000001,9.42,9.38,9.396,9.417,9.421
HIP55629,11 23 47.5265,-36 05 21.151,-26.526999999999997,1.995,6.99,6.98,6.871,6.891,6.843
HIP59950,12 17 47.2656,-36 05 38.323,-40.44,-7.19,6.148,6.14,6.147,6.212000000000001,6.155
HD77300,09 00 34.6064,-36 05 53.746,-7.252000000000001,4.252,9.53,9.46,9.339,9.329,9.281
HD25536,04 01 58.3297,-36 05 57.835,11.237,2.6310000000000002,8.43,8.39,8.288,8.292,8.285
HD122394,14 02 22.4457,-36 10 45.879,-9.713,-16.2,7.087000000000001,7.047000000000001,6.836,6.87,6.791
HIP6257,01 20 15.7719,-36 14 34.442,-9.543,-13.65,7.486000000000001,7.439,7.296,7.303999999999999,7.28
HD42166,06 07 30.7675,-36 18 33.999,3.068,-11.565999999999999,7.82,7.79,7.771,7.859,7.74
HD196497,20 39 04.4231,-36 21 21.541,7.079,-14.377,8.14,8.12,8.089,8.087,8.101
HD67189,08 05 29.6724,-36 30 16.102,-10.429,7.53,9.28,9.29,9.097000000000001,9.116,9.085
HD173487,18 47 08.1128,-36 30 36.832,5.994,-3.1039999999999996,10.2,10.18,10.024,10.027999999999999,10.007
HD66862,08 04 04.0334,-36 34 03.522,-6.484,-8.816,8.61,8.54,8.411,8.437000000000001,8.381
HD41630,06 04 36.8675,-36 39 11.597,-5.275,-2.7739999999999996,8.32,8.31,8.281,8.316,8.301
HIP60819,12 27 57.0146,-36 42 25.796,-26.761999999999997,-10.474,7.75,7.72,7.593999999999999,7.62,7.609
HD197340,20 44 20.4701,-36 44 31.629,6.462999999999999,-13.482000000000001,9.49,9.46,9.45,9.418,9.415
HIP78541,16 02 04.8366,-36 44 38.078,-23.296,-20.585,7.0,6.98,6.945,7.0089999999999995,6.9670000000000005
HIP7941,01 42 02.9937,-36 49 56.290,-29.465,-16.607,5.693,5.6979999999999995,5.697,5.724,5.685
HD88038,10 08 08.4122,-37 03 41.888,-10.894,-0.892,8.64,8.59,8.372,8.425,8.399
HIP50708,10 21 15.6268,-37 07 57.752,-18.857,5.933,8.4,8.34,8.232000000000001,8.216000000000001,8.192
HD169257,18 25 31.4601,-37 08 56.811,9.886000000000001,6.404,7.97,7.9,7.812,7.849,7.815
HD68050,08 09 19.4847,-37 13 32.611,-9.013,6.415,9.72,9.7,9.557,9.567,9.537
HIP25608,05 28 15.3348,-37 13 50.746,11.003,68.597,5.575,5.5520000000000005,5.519,5.506,5.502000000000001
HD174689,18 53 24.6833,-37 16 27.781,2.905,-27.045,7.41,7.38,7.244,7.273,7.242000000000001
HD86019,09 54 54.7486,-37 20 24.273,1.5419999999999998,0.789,8.45,8.4,8.283,8.299,8.309
HIP64381,13 11 43.5712,-37 23 51.083,-4.414,-9.5,8.36,8.33,8.193,8.19,8.216000000000001
HIP86098,17 35 43.0772,-37 26 23.541,-15.718,-33.806,6.492999999999999,6.462999999999999,6.395,6.4079999999999995,6.347
HIP34216,07 05 39.6860,-37 37 46.285,-9.389,7.257000000000001,8.76,8.69,8.527000000000001,8.52,8.488
HD212787,22 27 29.6125,-37 40 43.466,3.0839999999999996,1.153,9.75,9.76,9.817,9.802999999999999,9.792
HIP54170,11 04 52.5514,-37 42 13.363,-14.409,-4.8,8.46,8.39,8.215,8.255,8.198
HD153767,17 03 00.3375,-37 43 10.741,-8.861,-14.23,7.45,7.43,7.32,7.3629999999999995,7.3
HIP49784,10 09 45.4478,-37 43 55.538,-15.312999999999999,-10.414000000000001,7.66,7.62,7.558,7.565,7.553999999999999
HD72689,08 32 57.6892,-37 45 00.201,-9.527999999999999,4.6,9.28,9.26,9.187000000000001,9.152000000000001,9.167
HD117181,13 29 18.1664,-37 45 06.098,1.736,-3.3160000000000003,9.14,9.08,9.026,9.118,9.059
HD99626,11 27 24.1202,-37 48 01.018,-7.145,5.48,9.56,9.55,9.612,9.671,9.647
HD80973,09 21 49.9510,-37 53 20.972,-8.695,3.173,9.96,9.94,9.816,9.783999999999999,9.817
HIP44389,09 02 32.1195,-37 55 59.778,-11.013,2.944,9.05,9.02,8.912,8.998,8.936
HD88126,10 08 48.4048,-38 10 31.644,-19.109,12.481,9.28,9.24,9.129,9.116,9.078
HD53983,07 05 24.1380,-38 14 02.110,-3.1710000000000003,-10.265,7.82,7.8,7.687,7.716,7.699
HD85174,09 49 10.2899,-38 14 37.952,-11.59,6.406000000000001,9.61,9.56,9.345,9.357000000000001,9.302999999999999
HD150641,16 43 56.5059,-38 20 01.643,-11.145,-21.955,7.9,7.83,7.803999999999999,7.8260000000000005,7.768
HD108770,12 30 00.6487,-38 20 21.074,-15.074000000000002,-1.13,8.3,8.29,8.258,8.27,8.218
HD59551,07 28 43.2555,-38 23 03.237,3.6830000000000003,4.129,9.48,9.42,9.264,9.301,9.217
HD82680,09 32 24.2053,-38 26 39.143,-13.734000000000002,3.312,9.56,9.56,9.578,9.578,9.575
HIP58316,11 57 30.6084,-38 29 46.569,-14.286,13.798,7.33,7.26,7.103,7.077999999999999,7.059
HD130757,14 51 06.0836,-38 39 57.013,-8.149,-7.031000000000001,10.23,10.16,9.886000000000001,9.85,9.838
HD167580,18 17 41.7891,-38 43 25.959,-0.086,0.141,10.05,10.0,9.757,9.769,9.792
HIP75501,15 25 20.2092,-38 44 00.880,-41.573,-24.603,4.6,4.6,4.446000000000001,4.353,4.4830000000000005
HD173338,18 46 27.4058,-38 50 16.691,4.0360000000000005,-11.527999999999999,8.9,8.87,8.766,8.785,8.765
HD99677,11 27 44.2932,-38 51 09.536,-18.775,-1.466,8.98,8.93,8.695,8.718,8.72
HD76609,08 55 49.7343,-39 00 56.553,-4.867,6.106,9.37,9.33,9.23,9.254,9.193999999999999
HD86398,09 57 20.8664,-39 02 06.447,-11.592,5.02,9.84,9.83,9.685,9.711,9.701
HD164366,18 02 33.5390,-39 03 15.191,-0.196,-5.441,9.49,9.5,9.398,9.374,9.35
HD91067,10 30 03.9663,-39 03 42.584,-12.244000000000002,2.419,10.02,9.96,9.747,9.769,9.703
HIP46124,09 24 21.9701,-39 05 57.903,-20.8,9.221,9.12,9.06,8.939,8.967,8.902000000000001
HD112680,12 58 52.7227,-39 06 20.342,-44.911,-14.999,6.96,6.93,6.835,6.862,6.8660000000000005
HIP35393,07 18 33.5127,-39 12 37.020,-9.599,9.554,5.261,5.242999999999999,5.092,5.12,5.093
HD107714,12 22 50.9938,-39 15 07.571,-23.261999999999997,-0.792,9.12,9.06,8.892000000000001,8.943,8.879
HD79941,09 15 39.9587,-39 17 30.056,-8.073,1.579,9.37,9.36,9.201,9.169,9.142999999999999
HD54285,07 06 31.5452,-39 17 50.739,-9.82,7.869,8.83,8.77,8.745,8.689,8.728
HD80304,09 17 41.5845,-39 19 47.070,-9.138,2.096,10.19,10.15,10.195,10.232000000000001,10.225
HD78397,09 06 46.6621,-39 22 30.659,-7.252999999999999,6.952000000000001,9.93,9.9,9.785,9.836,9.79
HD162820,17 54 46.1693,-39 24 13.820,-2.011,-13.831,8.56,8.49,8.304,8.302,8.307
HD210083,22 08 46.2155,-39 27 49.431,14.719000000000001,0.41600000000000004,8.19,8.15,7.997999999999999,7.995,7.997000000000001
HIP39864,08 08 36.1516,-39 29 56.813,-13.167,16.429000000000002,7.18,7.15,7.097,7.124,7.106
HD84225,09 42 37.0631,-39 29 57.431,-9.193999999999999,-2.008,9.27,9.25,9.103,9.137,9.116
HIP54236,11 05 48.6077,-39 33 05.625,-2.6919999999999997,2.492,9.17,9.1,8.963,9.012,8.972999999999999
HD177219,19 05 31.4635,-39 35 22.455,10.682,-6.944,8.44,8.39,8.168,8.205,8.184
HD224399,23 57 34.0931,-39 40 43.125,10.725,-9.794,10.045,9.966000000000001,9.941,9.954,9.936
HD84029,09 41 12.3572,-39 43 25.717,-3.275,-0.6409999999999999,8.82,8.76,8.656,8.673,8.636000000000001
